"Աշխատանքային ռեսուրսների կազմը , ըստ ցուցանիշների և ըստ տարիների"

"ըստ ցուցանիշների","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Աշխատանքային ռեսուրսներ-  ըստ սեռի- տղամարդ",1063.6,1088.0,1075.7,1017.0,1004.7,974.9,956.7,940.2,905.2
"Աշխատանքային ռեսուրսներ-  ըստ սեռի- կին",1313.3,1309.6,1314.0,1269.3,1256.1,1214.1,1223.4,1166.5,1106.2
